id,task,framework,constraint,fold,type,result,metric,mode,version,params,app_version,utc,duration,training_duration,predict_duration,models_count,seed,info,mae,models_ensemble_count,r2,rmse,acc,auc,balacc,logloss
openml.org/t/359944,abalone,AutoGluon_high,1h8c,0,regression,-2.14763,neg_rmse,aws,0.3.1b20210829,"{'presets': 'high_quality_fast_inference_only_refit', '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, 7cfb67d]",2021-08-30T00:25:41,3403.4,3399.4,0.8,48,1213965152,,1.54132,18,0.552837,2.14763,,,,
openml.org/t/359944,abalone,AutoGluon_high,1h8c,1,regression,-2.04649,neg_rmse,aws,0.3.1b20210829,"{'presets': 'high_quality_fast_inference_only_refit', '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, 7cfb67d]",2021-08-30T00:25:53,3414.1,3410.2,0.6,48,1213965153,,1.40079,16,0.602552,2.04649,,,,
openml.org/t/359944,abalone,AutoGluon_high,1h8c,2,regression,-2.12023,neg_rmse,aws,0.3.1b20210829,"{'presets': 'high_quality_fast_inference_only_refit', '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, 7cfb67d]",2021-08-30T00:26:31,3443.8,3440.0,0.6,48,1213965154,,1.56934,16,0.572333,2.12023,,,,
openml.org/t/359944,abalone,AutoGluon_high,1h8c,3,regression,-2.09356,neg_rmse,aws,0.3.1b20210829,"{'presets': 'high_quality_fast_inference_only_refit', '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, 7cfb67d]",2021-08-30T00:28:10,3544.8,3541.1,0.7,48,1213965155,,1.47182,16,0.588987,2.09356,,,,
openml.org/t/359944,abalone,AutoGluon_high,1h8c,4,regression,-2.36459,neg_rmse,aws,0.3.1b20210829,"{'presets': 'high_quality_fast_inference_only_refit', '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, 7cfb67d]",2021-08-30T00:27:24,3493.2,3489.5,0.6,48,1213965156,,1.59182,16,0.544013,2.36459,,,,
openml.org/t/359944,abalone,AutoGluon_high,1h8c,5,regression,-2.09252,neg_rmse,aws,0.3.1b20210829,"{'presets': 'high_quality_fast_inference_only_refit', '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, 7cfb67d]",2021-08-30T00:29:01,3569.2,3565.1,0.9,48,1213965157,,1.48711,18,0.597644,2.09252,,,,
openml.org/t/359944,abalone,AutoGluon_high,1h8c,6,regression,-1.95184,neg_rmse,aws,0.3.1b20210829,"{'presets': 'high_quality_fast_inference_only_refit', '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, 7cfb67d]",2021-08-30T00:27:02,3438.7,3434.8,0.8,48,1213965158,,1.41199,16,0.593455,1.95184,,,,
openml.org/t/359944,abalone,AutoGluon_high,1h8c,7,regression,-1.93252,neg_rmse,aws,0.3.1b20210829,"{'presets': 'high_quality_fast_inference_only_refit', '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, 7cfb67d]",2021-08-30T00:29:23,3582.4,3578.4,0.8,48,1213965159,,1.39339,16,0.590244,1.93252,,,,
openml.org/t/359944,abalone,AutoGluon_high,1h8c,8,regression,-2.13634,neg_rmse,aws,0.3.1b20210829,"{'presets': 'high_quality_fast_inference_only_refit', '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, 7cfb67d]",2021-08-30T00:27:31,3455.8,3451.9,0.9,48,1213965160,,1.48903,17,0.563689,2.13634,,,,
openml.org/t/359944,abalone,AutoGluon_high,1h8c,9,regression,-2.11032,neg_rmse,aws,0.3.1b20210829,"{'presets': 'high_quality_fast_inference_only_refit', '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, 7cfb67d]",2021-08-30T00:28:58,3547.3,3543.5,0.8,48,1213965161,,1.52475,18,0.538753,2.11032,,,,
