id,task,framework,constraint,fold,type,result,metric,mode,version,params,app_version,utc,duration,training_duration,predict_duration,models_count,seed,info,mae,models_ensemble_count,r2,rmse,acc,auc,balacc,logloss
openml.org/t/359944,abalone,AutoGluon_norepeat,1h8c,0,regression,-2.10609,neg_rmse,aws,0.2.1b20210822,"{'presets': 'best_quality', 'num_bag_sets': 1, '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, af815f7]",2021-08-22T21:44:47,271.9,260.7,4.3,24,1137203307,,1.49805,19,0.569966,2.10609,,,,
openml.org/t/359944,abalone,AutoGluon_norepeat,1h8c,1,regression,-2.04587,neg_rmse,aws,0.2.1b20210822,"{'presets': 'best_quality', 'num_bag_sets': 1, '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, af815f7]",2021-08-22T21:52:41,264.2,253.7,4.0,24,1137203308,,1.38233,17,0.602792,2.04587,,,,
openml.org/t/359944,abalone,AutoGluon_norepeat,1h8c,2,regression,-2.00964,neg_rmse,aws,0.2.1b20210822,"{'presets': 'best_quality', 'num_bag_sets': 1, '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, af815f7]",2021-08-22T21:56:19,250.1,239.2,4.2,24,1137203309,,1.47327,18,0.615783,2.00964,,,,
openml.org/t/359944,abalone,AutoGluon_norepeat,1h8c,3,regression,-2.04353,neg_rmse,aws,0.2.1b20210822,"{'presets': 'best_quality', 'num_bag_sets': 1, '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, af815f7]",2021-08-22T21:46:27,263.7,252.5,4.1,24,1137203310,,1.43121,18,0.608396,2.04353,,,,
openml.org/t/359944,abalone,AutoGluon_norepeat,1h8c,4,regression,-2.32718,neg_rmse,aws,0.2.1b20210822,"{'presets': 'best_quality', 'num_bag_sets': 1, '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, af815f7]",2021-08-22T21:53:17,289.4,277.3,4.7,24,1137203311,,1.56825,17,0.558327,2.32718,,,,
openml.org/t/359944,abalone,AutoGluon_norepeat,1h8c,5,regression,-2.07826,neg_rmse,aws,0.2.1b20210822,"{'presets': 'best_quality', 'num_bag_sets': 1, '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, af815f7]",2021-08-22T21:53:58,273.6,262.1,4.4,24,1137203312,,1.4606,19,0.603109,2.07826,,,,
openml.org/t/359944,abalone,AutoGluon_norepeat,1h8c,6,regression,-1.91893,neg_rmse,aws,0.2.1b20210822,"{'presets': 'best_quality', 'num_bag_sets': 1, '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, af815f7]",2021-08-22T21:52:32,263.0,251.7,4.4,24,1137203313,,1.35866,18,0.607053,1.91893,,,,
openml.org/t/359944,abalone,AutoGluon_norepeat,1h8c,7,regression,-1.89389,neg_rmse,aws,0.2.1b20210822,"{'presets': 'best_quality', 'num_bag_sets': 1, '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, af815f7]",2021-08-22T21:47:03,270.3,258.9,4.1,24,1137203314,,1.33304,16,0.60646,1.89389,,,,
openml.org/t/359944,abalone,AutoGluon_norepeat,1h8c,8,regression,-2.11961,neg_rmse,aws,0.2.1b20210822,"{'presets': 'best_quality', 'num_bag_sets': 1, '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, af815f7]",2021-08-22T21:58:30,274.5,262.9,4.3,24,1137203315,,1.46116,18,0.570495,2.11961,,,,
openml.org/t/359944,abalone,AutoGluon_norepeat,1h8c,9,regression,-2.09186,neg_rmse,aws,0.2.1b20210822,"{'presets': 'best_quality', 'num_bag_sets': 1, '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, af815f7]",2021-08-22T21:46:31,260.2,249.9,3.7,24,1137203316,,1.49881,17,0.546784,2.09186,,,,
openml.org/t/190411,ada,AutoGluon_norepeat,1h8c,0,binary,0.936489,auc,aws,0.2.1b20210822,"{'presets': 'best_quality', 'num_bag_sets': 1, '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, af815f7]",2021-08-22T21:50:45,246.1,233.4,5.1,28,1137203307,,,25,,,0.879518,0.936489,0.822318,0.270291
openml.org/t/190411,ada,AutoGluon_norepeat,1h8c,1,binary,0.93764,auc,aws,0.2.1b20210822,"{'presets': 'best_quality', 'num_bag_sets': 1, '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, af815f7]",2021-08-22T21:45:52,222.2,212.5,2.0,28,1137203308,,,8,,,0.874699,0.93764,0.799602,0.272066
openml.org/t/190411,ada,AutoGluon_norepeat,1h8c,2,binary,0.903068,auc,aws,0.2.1b20210822,"{'presets': 'best_quality', 'num_bag_sets': 1, '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, af815f7]",2021-08-22T21:50:52,230.8,222.7,0.6,28,1137203309,,,5,,,0.872289,0.903068,0.807755,0.328868
openml.org/t/190411,ada,AutoGluon_norepeat,1h8c,3,binary,0.922548,auc,aws,0.2.1b20210822,"{'presets': 'best_quality', 'num_bag_sets': 1, '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, af815f7]",2021-08-22T21:55:41,214.0,202.5,4.3,28,1137203310,,,20,,,0.86506,0.922548,0.776932,0.298858
openml.org/t/190411,ada,AutoGluon_norepeat,1h8c,4,binary,0.94489,auc,aws,0.2.1b20210822,"{'presets': 'best_quality', 'num_bag_sets': 1, '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, af815f7]",2021-08-22T21:50:53,251.2,237.5,5.6,28,1137203311,,,24,,,0.893976,0.94489,0.851444,0.256569
openml.org/t/190411,ada,AutoGluon_norepeat,1h8c,5,binary,0.91732,auc,aws,0.2.1b20210822,"{'presets': 'best_quality', 'num_bag_sets': 1, '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, af815f7]",2021-08-22T21:50:09,242.1,228.4,5.5,28,1137203312,,,25,,,0.877108,0.91732,0.801204,0.299809
openml.org/t/190411,ada,AutoGluon_norepeat,1h8c,6,binary,0.887354,auc,aws,0.2.1b20210822,"{'presets': 'best_quality', 'num_bag_sets': 1, '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, af815f7]",2021-08-22T21:51:18,236.1,223.2,5.1,28,1137203313,,,25,,,0.845783,0.887354,0.764112,0.348701
openml.org/t/190411,ada,AutoGluon_norepeat,1h8c,7,binary,0.916055,auc,aws,0.2.1b20210822,"{'presets': 'best_quality', 'num_bag_sets': 1, '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, af815f7]",2021-08-22T21:50:11,246.0,232.6,5.4,28,1137203314,,,22,,,0.833333,0.916055,0.759201,0.307926
openml.org/t/190411,ada,AutoGluon_norepeat,1h8c,8,binary,0.926701,auc,aws,0.2.1b20210822,"{'presets': 'best_quality', 'num_bag_sets': 1, '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, af815f7]",2021-08-22T21:54:12,256.5,242.3,5.8,28,1137203315,,,25,,,0.864734,0.926701,0.799582,0.288002
openml.org/t/190411,ada,AutoGluon_norepeat,1h8c,9,binary,0.910759,auc,aws,0.2.1b20210822,"{'presets': 'best_quality', 'num_bag_sets': 1, '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, af815f7]",2021-08-22T21:51:11,242.5,229.2,5.2,28,1137203316,,,21,,,0.842995,0.910759,0.770456,0.314529
openml.org/t/359983,adult,AutoGluon_norepeat,1h8c,0,binary,0.932581,auc,aws,0.2.1b20210822,"{'presets': 'best_quality', 'num_bag_sets': 1, '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, af815f7]",2021-08-22T22:50:07,3302.0,3232.4,32.7,28,1137203307,,,22,,,0.877584,0.932581,0.800806,0.26914
openml.org/t/359983,adult,AutoGluon_norepeat,1h8c,1,binary,0.929244,auc,aws,0.2.1b20210822,"{'presets': 'best_quality', 'num_bag_sets': 1, '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, af815f7]",2021-08-22T22:40:47,3136.8,3067.4,31.8,28,1137203308,,,22,,,0.879427,0.929244,0.807001,0.272042
openml.org/t/359983,adult,AutoGluon_norepeat,1h8c,2,binary,0.932561,auc,aws,0.2.1b20210822,"{'presets': 'best_quality', 'num_bag_sets': 1, '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, af815f7]",2021-08-22T22:42:09,3275.9,3206.5,32.2,28,1137203309,,,23,,,0.87326,0.932561,0.7993,0.269173
openml.org/t/359983,adult,AutoGluon_norepeat,1h8c,3,binary,0.928676,auc,aws,0.2.1b20210822,"{'presets': 'best_quality', 'num_bag_sets': 1, '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, af815f7]",2021-08-22T22:43:27,3221.4,3174.6,21.0,28,1137203310,,,22,,,0.869369,0.928676,0.794689,0.276222
openml.org/t/359983,adult,AutoGluon_norepeat,1h8c,4,binary,0.928865,auc,aws,0.2.1b20210822,"{'presets': 'best_quality', 'num_bag_sets': 1, '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, af815f7]",2021-08-22T22:46:29,3265.6,3198.6,31.5,28,1137203311,,,23,,,0.876945,0.928865,0.801722,0.275167
openml.org/t/359983,adult,AutoGluon_norepeat,1h8c,5,binary,0.926832,auc,aws,0.2.1b20210822,"{'presets': 'best_quality', 'num_bag_sets': 1, '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, af815f7]",2021-08-22T22:45:43,3216.2,3149.7,31.4,28,1137203312,,,23,,,0.871622,0.926832,0.797189,0.277135
openml.org/t/359983,adult,AutoGluon_norepeat,1h8c,6,binary,0.932729,auc,aws,0.2.1b20210822,"{'presets': 'best_quality', 'num_bag_sets': 1, '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, af815f7]",2021-08-22T22:46:40,3160.5,3093.9,30.9,28,1137203313,,,23,,,0.871212,0.932729,0.790178,0.269447
openml.org/t/359983,adult,AutoGluon_norepeat,1h8c,7,binary,0.933205,auc,aws,0.2.1b20210822,"{'presets': 'best_quality', 'num_bag_sets': 1, '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, af815f7]",2021-08-22T22:41:13,3260.0,3192.0,31.7,28,1137203314,,,24,,,0.873874,0.933205,0.794566,0.26935
openml.org/t/359983,adult,AutoGluon_norepeat,1h8c,8,binary,0.939453,auc,aws,0.2.1b20210822,"{'presets': 'best_quality', 'num_bag_sets': 1, '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, af815f7]",2021-08-22T22:36:19,2995.1,2950.2,20.0,28,1137203315,,,21,,,0.884111,0.939453,0.814486,0.257316
